epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.832,1.46829,4.39776,1.781,0.47347,0.44799,0.46513,0.28204,1.33793,3.63322,1.85135,8.32861e-05,8.32861e-05,8.32861e-05
2,636.346,1.3371,3.12249,1.63745,0.71436,0.78248,0.84007,0.53612,1.23518,2.55225,1.75115,0.00016332,0.00016332,0.00016332
3,942.495,1.27624,2.46424,1.57361,0.85044,0.87078,0.94514,0.64397,1.11587,2.06352,1.66253,0.000240055,0.000240055,0.000240055
4,1248.64,1.22925,2.08069,1.53478,0.89975,0.92593,0.97258,0.67318,1.08014,1.55101,1.61572,0.00023515,0.00023515,0.00023515
5,1547.52,1.18642,1.76555,1.48698,0.91491,0.94083,0.97977,0.69968,1.02636,1.27534,1.55728,0.0002302,0.0002302,0.0002302
6,1853.06,1.14314,1.56373,1.44856,0.95015,0.96799,0.98334,0.70939,1.00745,1.115,1.52798,0.00022525,0.00022525,0.00022525
7,2157.97,1.1301,1.44442,1.44014,0.94922,0.96065,0.98531,0.71715,0.99224,0.95441,1.51533,0.0002203,0.0002203,0.0002203
8,2464.05,1.10381,1.33589,1.42036,0.9564,0.97235,0.98678,0.71376,0.99778,0.93997,1.51054,0.00021535,0.00021535,0.00021535
9,2765.63,1.09632,1.25962,1.41286,0.94691,0.9758,0.98819,0.72165,0.99713,0.83083,1.51442,0.0002104,0.0002104,0.0002104
10,3075.9,1.05809,1.18235,1.38225,0.97265,0.98513,0.98938,0.73075,0.97423,0.72541,1.49203,0.00020545,0.00020545,0.00020545
11,3389.61,1.06488,1.13943,1.38885,0.95914,0.97919,0.98745,0.73177,0.97166,0.71637,1.48163,0.0002005,0.0002005,0.0002005
12,3704.81,1.03857,1.05908,1.36289,0.97264,0.98619,0.98696,0.73455,0.95569,0.64681,1.46932,0.00019555,0.00019555,0.00019555
13,4014.1,1.03517,1.01587,1.36343,0.97393,0.98924,0.98868,0.74007,0.94425,0.62485,1.46127,0.0001906,0.0001906,0.0001906
14,4323.24,1.0353,1.00695,1.36036,0.96334,0.98976,0.98974,0.7498,0.93563,0.62153,1.4529,0.00018565,0.00018565,0.00018565
15,4627.46,1.0187,0.95568,1.35066,0.97512,0.98814,0.98833,0.74961,0.92521,0.57151,1.4429,0.0001807,0.0001807,0.0001807
16,4939.02,1.01489,0.93381,1.34546,0.96992,0.99033,0.98953,0.74172,0.93775,0.5914,1.44725,0.00017575,0.00017575,0.00017575
17,5255.58,1.00162,0.91437,1.33833,0.977,0.98545,0.99042,0.74935,0.93267,0.56534,1.43861,0.0001708,0.0001708,0.0001708
18,5564.69,0.99069,0.88547,1.3277,0.97928,0.9871,0.98885,0.7519,0.91078,0.53309,1.42544,0.00016585,0.00016585,0.00016585
19,5879.63,0.98879,0.85824,1.33011,0.97657,0.99439,0.99084,0.75302,0.91248,0.52412,1.42862,0.0001609,0.0001609,0.0001609
20,6192.86,0.97918,0.86012,1.32016,0.98166,0.98908,0.98997,0.757,0.90648,0.49892,1.41703,0.00015595,0.00015595,0.00015595
